workstream,bucket,source,title,url,parent_url,saved_path,status,detail,size_bytes,content_type,collected_at_utc
busca2a,bibliographic_oa,pubmed,"Pediatric Obesity-Assessment, Treatment, and Prevention: An Endocrine Society Clinical Practice Guideline.",https://academic.oup.com/jcem/article-pdf/102/3/709/26992433/jc.2016-2573.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2017__pediatric-obesity-assessment-treatment-and-prevention-an-endocrine-soc__10-1210-jc-2016-2573.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/jcem/article-pdf/102/3/709/26992433/jc.2016-2573.pdf,0,,2026-05-03T10:45:41+00:00
busca2a,bibliographic_oa,pubmed,Ultra-Processed Foods and Health Outcomes: A Narrative Review.,http://www.scielo.br/pdf/csc/v24n3/en_1413-8123-csc-24-03-0983.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2020__ultra-processed-foods-and-health-outcomes-a-narrative-review__10-1590-1413-81232018243-35182.pdf,downloaded,application/pdf,476583,application/pdf,2026-05-03T10:45:42+00:00
busca2a,bibliographic_oa,pubmed,Higher HEI-2015 Score Is Associated with Reduced Risk of Depression: Result from NHANES 2005-2016.,https://diabetesjournals.org/care/article-pdf/24/6/1069/588014/1069.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2021__higher-hei-2015-score-is-associated-with-reduced-risk-of-depression-re__10-2337-diacare-24-6-1069.pdf,failed,403 Client Error: Forbidden for url: https://diabetesjournals.org/care/article-pdf/24/6/1069/588014/1069.pdf,0,,2026-05-03T10:45:43+00:00
busca2a,bibliographic_oa,pubmed,Evaluation of Dietary Patterns and All-Cause Mortality: A Systematic Review.,https://jamanetwork.com/journals/jamainternalmedicine/articlepdf/2759737/jamainternal_zhong_2020_oi_190112.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2021__evaluation-of-dietary-patterns-and-all-cause-mortality-a-systematic-re__10-1001-jamainternmed-2019-696.pdf,failed,403 Client Error: Forbidden for url: https://jamanetwork.com/journals/jamainternalmedicine/articlepdf/2759737/jamainternal_zhong_2020_oi_190112.pdf,0,,2026-05-03T10:45:43+00:00
busca2a,bibliographic_oa,pubmed,Healthy Aging-Nutrition Matters: Start Early and Screen Often.,https://academic.oup.com/advances/article-pdf/12/4/1438/39403329/nmab032.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2021__healthy-aging-nutrition-matters-start-early-and-screen-often__10-1093-advances-nmab032.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/advances/article-pdf/12/4/1438/39403329/nmab032.pdf,0,,2026-05-03T10:45:43+00:00
busca2a,bibliographic_oa,pubmed,Fruit and Vegetable Intake and Mental Health in Adults: A Systematic Review.,https://academic.oup.com/nutritionreviews/article-pdf/77/11/829/30096176/nuz031.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2020__fruit-and-vegetable-intake-and-mental-health-in-adults-a-systematic-re__10-1093-nutrit-nuz031.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/nutritionreviews/article-pdf/77/11/829/30096176/nuz031.pdf,0,,2026-05-03T10:45:43+00:00
busca2a,bibliographic_oa,pubmed,Identifying Indicators of Readiness and Capacity for Implementing Farm-to-School Interventions.,https://www.cdc.gov/pcd/issues/2013/pdf/13_0182.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2019__identifying-indicators-of-readiness-and-capacity-for-implementing-farm__10-5888-pcd10-130182.pdf,downloaded,application/pdf,601496,application/pdf,2026-05-03T10:45:45+00:00
busca2a,bibliographic_oa,pubmed,Healthy dietary patterns and the risk of individual chronic diseases in community-dwelling adults.,https://www.nature.com/articles/s41467-023-42523-9.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2023__healthy-dietary-patterns-and-the-risk-of-individual-chronic-diseases-i__10-1038-s41467-023-42523-9.pdf,downloaded,application/pdf,1047283,application/pdf,2026-05-03T10:45:50+00:00
busca2a,bibliographic_oa,pubmed,Healthy lifestyle and life expectancy in people with multimorbidity in the UK Biobank: A longitudinal cohort study.,https://academic.oup.com/biomedgerontology/article-pdf/75/11/2193/33892228/glz271.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2020__healthy-lifestyle-and-life-expectancy-in-people-with-multimorbidity-in__10-1093-gerona-glz271.pdf,failed,403 Client Error: Forbidden for url: https://academic.oup.com/biomedgerontology/article-pdf/75/11/2193/33892228/glz271.pdf,0,,2026-05-03T10:45:50+00:00
busca2a,bibliographic_oa,pubmed,Development of the Vietnamese Healthy Eating Index.,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E5D820A754D8D2B11E15A6142EF783B2/S2048679022000441a.pdf/div-class-title-development-of-the-vietnamese-healthy-eating-index-div.pdf,,D:\Downloads\nutev_master_package_v3\NUTEV_MASTER_PROJECT\03_corpus\03A_bibliographic_oa\busca2a\NUTEV__busca2a__bibliographic-oa__pubmed__2022__development-of-the-vietnamese-healthy-eating-index__10-1017-jns-2022-44.pdf,downloaded,application/pdf,615659,application/pdf,2026-05-03T10:45:52+00:00
